filename,Latitude,Longitude,Depth,sample_type,Cruise,Instrument,tag1,tag2,tag3
D20240404T182558_IFCB206,36.181,-74.817,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240404T184952_IFCB206,36.174,-74.822,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240404T191346_IFCB206,36.174,-74.826,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240404T193740_IFCB206,36.175,-74.827,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240404T200135_IFCB206,36.175,-74.827,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T030735_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T033129_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T035523_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T041919_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T044314_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T050708_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T053103_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T055459_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T061854_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T064249_IFCB206,36.177,-74.819,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T070644_IFCB206,36.178,-74.824,3,underway,AR82,IFCB206,site_CP11NOSM,targetdepth_surface,
D20240405T073039_IFCB206,36.112,-74.831,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T075433_IFCB206,36.042,-74.836,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T081828_IFCB206,35.974,-74.839,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T084223_IFCB206,35.907,-74.842,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T090618_IFCB206,35.842,-74.846,3,underway,AR82,IFCB206,site_CP14SEPM,targetdepth_surface,
D20240405T093012_IFCB206,35.781,-74.851,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T095406_IFCB206,35.723,-74.851,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T101800_IFCB206,35.723,-74.852,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T104154_IFCB206,35.728,-74.857,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T110549_IFCB206,35.72,-74.844,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T112943_IFCB206,35.701,-74.823,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T115338_IFCB206,35.712,-74.829,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T121732_IFCB206,35.715,-74.832,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T124127_IFCB206,35.717,-74.835,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T130521_IFCB206,35.721,-74.841,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T132915_IFCB206,35.725,-74.847,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T135309_IFCB206,35.73,-74.854,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T141704_IFCB206,35.723,-74.852,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T144058_IFCB206,35.725,-74.853,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T211720_IFCB206,35.896,-74.826,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T214114_IFCB206,35.902,-74.826,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T220508_IFCB206,35.854,-74.832,3,underway,AR82,IFCB206,site_CP14SEPM,targetdepth_surface,
D20240405T222903_IFCB206,35.784,-74.842,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240405T225257_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T231651_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240405T234045_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T000440_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T002834_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T005228_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T011622_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T014017_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T020412_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T022806_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T025200_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T031554_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T033950_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
